Theme,Usage
dark,"Dark theme is included by default. To use it, just set the theme parameter to 'dark': Swal.fire({  title: 'Dark theme',  theme: 'dark' })"
auto,"Auto theme is also included in default SweetAlert2 styles, it automatically adapts to the browser's theme (light or dark). To use it, just set the theme parameter to 'auto': Swal.fire({  title: 'Auto theme',  theme: 'auto' })"
bootstrap-5,"Bootstrap 5 theme is a separate CSS file that automatically adapts to the browser's theme (light or dark). To use it, you need to import the theme's CSS file and set the theme parameter to 'bootstrap-5': import 'sweetalert2/themes/bootstrap-5.css' Swal.fire({  title: 'Bootstrap 5 theme',  theme: 'bootstrap-5'  // theme: 'bootstrap-5-light' // light theme only  // theme: 'bootstrap-5-dark' // dark theme only })"
bootstrap-4,"Bootstrap 4 theme is a separate CSS file that automatically adapts to the browser's theme (light or dark). To use it, you need to import the theme's CSS file and set the theme parameter to 'bootstrap-4': import 'sweetalert2/themes/bootstrap-4.css' Swal.fire({  title: 'Bootstrap 4 theme',  theme: 'bootstrap-4'  // theme: 'bootstrap-4-light' // light theme only  // theme: 'bootstrap-4-dark' // dark theme only })"
material-ui,"Material UI theme is a separate CSS file that automatically adapts to the browser's theme (light or dark). To use it, you need to import the theme's CSS file and set the theme parameter to 'material-ui': import 'sweetalert2/themes/material-ui.css' Swal.fire({  title: 'Material UI theme',  theme: 'material-ui'  // theme: 'material-ui-light' // light theme only  // theme: 'material-ui-dark' // dark theme only })"
bulma,"Bulma theme is a separate CSS file that automatically adapts to the browser's theme (light or dark). To use it, you need to import the theme's CSS file and set the theme parameter to 'bulma': import 'sweetalert2/themes/bulma.css' Swal.fire({  title: 'Bulma theme',  theme: 'bulma'  // theme: 'bulma-light' // light theme only  // theme: 'bulma-dark' // dark theme only })"
